0,dart,time,velocity
0.0,50.0,49.0,1660.0
0.0,50.0,365.0,1700.0
0.0,50.0,600.0,1720.0
0.0,50.0,770.0,1720.0
0.0,50.0,897.0,1714.0
0.0,50.0,1044.0,1739.0
0.0,50.0,1107.0,1745.0
0.0,50.0,1234.0,1769.0
0.0,50.0,1309.0,1774.0
0.0,50.0,1434.0,1792.0
0.0,50.0,1581.0,1869.0
0.0,50.0,1755.0,1980.0
0.0,50.0,1971.0,2154.0
0.0,50.0,2077.0,2214.0
0.0,50.0,2176.0,2265.0
0.0,50.0,2526.0,2440.0
0.0,50.0,2734.0,2495.0
0.0,50.0,2945.0,2561.0
0.0,50.0,3847.0,3000.0
0.0,100.0,62.0,1635.0
0.0,100.0,372.0,1665.0
0.0,100.0,561.0,1690.0
0.0,100.0,744.0,1704.0
0.0,100.0,889.0,1715.0
0.0,100.0,1032.0,1735.0
0.0,100.0,1142.0,1754.0
0.0,100.0,1223.0,1756.0
0.0,100.0,1386.0,1785.0
0.0,100.0,1560.0,1889.0
0.0,100.0,1749.0,2030.0
0.0,100.0,2085.0,2260.0
0.0,100.0,2175.0,2310.0
0.0,100.0,2660.0,2580.0
0.0,100.0,3776.0,3080.0
0.0,150.0,59.0,1650.0
0.0,150.0,360.0,1680.0
0.0,150.0,580.0,1685.0
0.0,150.0,752.0,1715.0
0.0,150.0,860.0,1720.0
0.0,150.0,1000.0,1740.0
0.0,150.0,1354.0,1795.0
0.0,150.0,1531.0,1899.0
0.0,150.0,1737.0,2014.0
0.0,150.0,1961.0,2179.0
0.0,150.0,2080.0,2265.0
0.0,150.0,2187.0,2315.0
0.0,150.0,2534.0,2469.0
0.0,150.0,2710.0,2640.0
0.0,150.0,3708.0,3095.0
0.0,200.0,28.0,1634.0
0.0,200.0,305.0,1659.0
0.0,200.0,453.0,1660.0
0.0,200.0,534.0,1669.0
0.0,200.0,679.0,1684.0
0.0,200.0,773.0,1710.0
0.0,200.0,883.0,1725.0
0.0,200.0,954.0,1730.0
0.0,200.0,1125.0,1754.0
0.0,200.0,1319.0,1779.0
0.0,200.0,1504.0,1876.0
0.0,200.0,1703.0,2004.0
0.0,200.0,1975.0,2199.0
0.0,200.0,2082.0,2265.0
0.0,200.0,2183.0,2325.0
0.0,200.0,2426.0,2464.0
0.0,200.0,2576.0,2534.0
0.0,200.0,2679.0,2585.0
0.0,200.0,2954.0,2704.0
0.0,200.0,3812.0,3040.0
0.0,250.0,29.0,1600.0
0.0,250.0,353.0,1654.0
0.0,250.0,410.0,1670.0
0.0,250.0,586.0,1690.0
