Line-Trace,Pred-TVs,Lable-TVs,Dffirence
430_850,13,14,-1
430_950,11,12,-1
430_1000,13,17,-4
430_1050,13,18,-5
430_1100,13,18,-5
430_1200,16,24,-8
430_1250,11,20,-9
430_1300,18,18,0
430_1350,16,21,-5
430_1450,14,16,-2
430_1500,15,16,-1
430_1550,14,20,-6
430_1650,10,19,-9
430_1700,12,21,-9
430_1750,9,23,-14
430_1800,9,21,-12
430_1850,8,23,-15
430_1900,14,22,-8
430_1950,11,20,-9
430_2000,14,15,-1
430_2100,16,20,-4
430_2150,17,20,-3
430_2250,15,17,-2
430_2300,11,19,-8
430_2350,16,17,-1
430_2400,10,19,-9
430_2500,15,19,-4
430_2550,17,15,2
430_2600,16,20,-4
430_2650,16,19,-3
430_2700,17,18,-1
430_2750,20,23,-3
430_2850,20,23,-3
430_2900,17,26,-9
430_3000,20,20,0
430_3050,14,23,-9
430_3100,19,27,-8
430_3150,25,27,-2
430_3200,15,19,-4
430_3250,11,21,-10
430_3300,15,22,-7
430_3400,22,20,2
430_3500,17,13,4
460_800,17,14,3
460_850,13,18,-5
460_900,9,17,-8
460_950,12,17,-5
460_1000,15,16,-1
460_1050,12,21,-9
460_1150,18,17,1
460_1200,16,24,-8
460_1250,16,20,-4
460_1300,16,22,-6
460_1350,17,23,-6
460_1400,15,19,-4
460_1550,17,16,1
460_1600,15,18,-3
460_1650,10,19,-9
460_1700,10,15,-5
460_1750,8,18,-10
460_1800,11,18,-7
460_1900,9,22,-13
460_1950,10,18,-8
460_2000,11,19,-8
460_2050,12,19,-7
460_2100,11,21,-10
460_2150,13,19,-6
460_2200,10,16,-6
460_2300,14,16,-2
460_2350,17,12,5
460_2400,15,18,-3
460_2450,11,17,-6
460_2500,11,21,-10
460_2550,16,16,0
460_2650,16,21,-5
460_2700,16,20,-4
460_2800,17,26,-9
460_2850,17,21,-4
460_2900,18,20,-2
460_2950,17,22,-5
460_3000,19,23,-4
460_3050,17,24,-7
460_3100,17,28,-11
460_3150,16,26,-10
460_3250,10,25,-15
460_3400,21,20,1
460_3450,19,17,2
490_800,23,15,8
490_850,14,14,0
490_900,14,17,-3
490_950,15,16,-1
490_1000,13,22,-9
490_1050,13,18,-5
490_1100,15,16,-1
490_1150,14,20,-6
490_1250,12,21,-9
490_1300,17,19,-2
490_1350,16,21,-5
490_1400,19,20,-1
490_1500,17,20,-3
490_1550,17,17,0
490_1600,15,18,-3
490_1650,13,18,-5
490_1700,14,20,-6
490_1750,9,21,-12
490_1800,9,21,-12
490_1850,11,22,-11
490_1900,8,20,-12
490_1950,14,18,-4
490_2100,8,21,-13
490_2150,11,17,-6
490_2200,15,21,-6
490_2250,20,19,1
490_2350,11,22,-11
490_2450,9,18,-9
490_2500,15,18,-3
490_2550,13,19,-6
490_2600,13,23,-10
490_2650,11,14,-3
490_2700,15,20,-5
490_2800,18,21,-3
490_2900,17,25,-8
490_2950,16,23,-7
490_3000,15,22,-7
490_3050,20,24,-4
490_3100,20,24,-4
490_3150,18,27,-9
490_3200,17,24,-7
490_3300,12,20,-8
490_3350,17,23,-6
490_3450,21,15,6
490_3500,18,16,2
520_950,13,13,0
520_1000,14,16,-2
520_1050,11,16,-5
520_1150,11,15,-4
520_1250,14,19,-5
520_1300,14,18,-4
520_1350,19,20,-1
520_1400,12,20,-8
520_1450,15,21,-6
520_1500,21,17,4
520_1600,12,16,-4
520_1650,16,17,-1
520_1700,13,15,-2
520_1800,12,15,-3
520_1850,19,16,3
520_1900,10,17,-7
520_1950,14,18,-4
520_2000,10,19,-9
520_2050,14,17,-3
520_2200,8,19,-11
520_2250,14,16,-2
520_2300,20,19,1
520_2350,20,19,1
520_2400,13,16,-3
520_2500,14,18,-4
520_2550,16,21,-5
520_2600,9,20,-11
520_2700,15,22,-7
520_2750,15,20,-5
520_2800,16,22,-6
520_2850,16,22,-6
520_2900,18,23,-5
520_2950,15,21,-6
520_3000,16,20,-4
520_3050,13,27,-14
520_3150,18,26,-8
520_3200,18,29,-11
520_3300,13,25,-12
520_3350,18,22,-4
520_3400,18,17,1
520_3450,19,21,-2
550_1000,5,10,-5
550_1050,11,11,0
550_1100,17,13,4
550_1200,11,14,-3
550_1250,11,15,-4
550_1300,16,15,1
550_1400,16,18,-2
550_1450,16,19,-3
550_1500,22,14,8
550_1550,22,16,6
550_1650,13,13,0
550_1700,21,14,7
550_1800,14,14,0
550_1850,12,18,-6
550_1900,15,18,-3
550_1950,10,20,-10
550_2000,22,15,7
550_2050,11,19,-8
550_2100,14,20,-6
550_2150,12,18,-6
550_2250,10,16,-6
550_2350,7,18,-11
550_2400,14,20,-6
550_2450,10,17,-7
550_2500,13,24,-11
550_2600,9,19,-10
550_2650,16,19,-3
550_2700,12,19,-7
550_2750,14,21,-7
550_2800,17,21,-4
550_2850,18,20,-2
550_2900,17,24,-7
550_3000,14,20,-6
550_3050,19,20,-1
550_3150,16,25,-9
550_3200,22,23,-1
550_3250,18,23,-5
550_3300,13,27,-14
550_3350,14,25,-11
550_3450,19,18,1
550_3500,23,18,5
580_1150,19,12,7
580_1200,19,12,7
580_1250,19,12,7
580_1300,13,20,-7
580_1350,12,21,-9
580_1400,14,19,-5
580_1450,13,22,-9
580_1500,18,16,2
580_1600,19,18,1
580_1700,13,21,-8
580_1750,13,19,-6
580_1800,12,21,-9
580_1850,15,18,-3
580_1900,14,21,-7
580_2000,13,20,-7
580_2100,7,20,-13
580_2150,18,19,-1
580_2200,14,15,-1
580_2250,19,16,3
580_2300,16,16,0
580_2350,14,17,-3
580_2400,20,20,0
580_2450,12,22,-10
580_2550,17,18,-1
580_2600,17,15,2
580_2700,9,17,-8
580_2750,15,17,-2
580_2800,13,19,-6
580_2850,14,18,-4
580_2900,16,21,-5
580_3000,16,20,-4
580_3100,17,19,-2
580_3150,14,23,-9
580_3200,18,21,-3
580_3250,17,22,-5
580_3300,16,22,-6
580_3350,12,22,-10
580_3400,16,25,-9
580_3450,18,18,0
580_3500,20,13,7
610_1200,17,13,4
610_1300,14,15,-1
610_1350,16,17,-1
610_1400,18,18,0
610_1500,21,20,1
610_1550,14,19,-5
610_1600,17,19,-2
610_1700,12,19,-7
610_1750,12,23,-11
610_1800,12,23,-11
610_1850,15,19,-4
610_1900,20,19,1
610_1950,18,19,-1
610_2000,13,16,-3
610_2100,14,14,0
610_2150,19,17,2
610_2200,21,19,2
610_2250,9,17,-8
610_2350,17,18,-1
610_2400,17,15,2
610_2450,9,14,-5
610_2500,13,16,-3
610_2600,7,17,-10
610_2650,13,19,-6
610_2700,14,17,-3
610_2750,10,17,-7
610_2850,14,18,-4
610_2950,13,20,-7
610_3000,14,21,-7
610_3050,14,22,-8
610_3100,13,20,-7
610_3150,12,22,-10
610_3200,14,22,-8
610_3250,17,26,-9
610_3300,13,24,-11
610_3400,15,21,-6
610_3450,24,17,7
610_3500,18,15,3
640_1200,17,13,4
640_1250,15,14,1
640_1300,15,17,-2
640_1350,16,16,0
640_1500,18,15,3
640_1550,21,16,5
640_1600,22,17,5
640_1650,11,18,-7
640_1700,8,17,-9
640_1750,20,18,2
640_1900,13,22,-9
640_1950,21,20,1
640_2000,22,23,-1
640_2050,18,19,-1
640_2100,19,19,0
640_2150,10,17,-7
640_2200,12,18,-6
640_2250,14,15,-1
640_2350,14,21,-7
640_2450,14,17,-3
640_2500,10,16,-6
640_2550,11,18,-7
640_2600,12,19,-7
640_2650,9,17,-8
640_2750,17,16,1
640_2800,18,17,1
640_2900,8,18,-10
640_2950,12,21,-9
640_3100,14,24,-10
640_3150,15,24,-9
640_3200,13,23,-10
640_3250,16,25,-9
640_3300,14,24,-10
640_3350,15,22,-7
