Line-Trace,Pred-TVs,Lable-TVs,Dffirence
400_3450,14,13,1
400_3500,17,11,6
430_800,10,14,-4
430_850,10,14,-4
430_950,7,12,-5
430_1000,7,17,-10
430_1050,7,18,-11
430_1100,5,18,-13
430_1200,7,24,-17
430_1250,4,20,-16
430_1300,10,18,-8
430_1350,10,21,-11
430_1450,9,16,-7
430_1500,9,16,-7
430_1550,9,20,-11
430_1650,6,19,-13
430_1700,7,21,-14
430_1750,8,23,-15
430_1800,7,21,-14
430_1850,7,23,-16
430_1900,7,22,-15
430_1950,10,20,-10
430_2000,10,15,-5
430_2100,15,20,-5
430_2150,16,20,-4
430_2250,11,17,-6
430_2300,6,19,-13
430_2350,13,17,-4
430_2400,6,19,-13
430_2500,10,19,-9
430_2550,8,15,-7
430_2600,7,20,-13
430_2650,5,19,-14
430_2700,5,18,-13
430_2750,9,23,-14
430_2850,6,23,-17
430_2900,8,26,-18
430_3000,6,20,-14
430_3050,5,23,-18
430_3100,4,27,-23
430_3150,4,27,-23
430_3200,4,19,-15
430_3250,5,21,-16
430_3300,8,22,-14
430_3400,10,20,-10
430_3500,14,13,1
460_800,10,14,-4
460_850,10,18,-8
460_900,6,17,-11
460_950,10,17,-7
460_1000,10,16,-6
460_1050,8,21,-13
460_1150,7,17,-10
460_1200,7,24,-17
460_1250,6,20,-14
460_1300,9,22,-13
460_1350,10,23,-13
460_1400,10,19,-9
460_1550,7,16,-9
460_1600,8,18,-10
460_1650,4,19,-15
460_1700,7,15,-8
460_1750,4,18,-14
460_1800,6,18,-12
460_1900,8,22,-14
460_1950,8,18,-10
460_2000,9,19,-10
460_2050,11,19,-8
460_2100,9,21,-12
460_2150,12,19,-7
460_2200,6,16,-10
460_2300,13,16,-3
460_2350,12,12,0
460_2400,12,18,-6
460_2450,6,17,-11
460_2500,6,21,-15
460_2550,13,16,-3
460_2650,11,21,-10
460_2700,7,20,-13
460_2800,9,26,-17
460_2850,10,21,-11
460_2900,8,20,-12
460_2950,8,22,-14
460_3000,8,23,-15
460_3050,4,24,-20
